nIndex=94, start=(309,159), end=(308,0), angle=90.0000, Dis=220.9046, angle diff=0.0000
nIndex=95, start=(345,159), end=(344,0), angle=90.0000, Dis=220.9046, angle diff=0.0000
nIndex=96, start=(337,159), end=(336,0), angle=90.0000, Dis=220.9046, angle diff=0.0000
nIndex=97, start=(336,159), end=(335,0), angle=90.0000, Dis=220.9046, angle diff=0.0000
nIndex=98, start=(289,159), end=(634,0), angle=-23.1986, Dis=1924.0841, angle diff=-66.8014
nIndex=99, start=(337,159), end=(634,0), angle=-26.5651, Dis=1660.1924, angle diff=-130.2363
nIndex=100, start=(351,159), end=(634,0), angle=-24.9046, Dis=1583.3525, angle diff=-128.5303
nIndex=101, start=(389,159), end=(634,0), angle=-25.1151, Dis=1375.1961, angle diff=-129.9802
nIndex=102, start=(317,159), end=(316,0), angle=90.0000, Dis=220.9046, angle diff=-64.8849
nIndex=103, start=(317,159), end=(316,0), angle=90.0000, Dis=220.9046, angle diff=0.0000
nIndex=104, start=(317,159), end=(316,0), angle=90.0000, Dis=220.9046, angle diff=0.0000
nIndex=105, start=(291,159), end=(406,0), angle=-53.9727, Dis=674.3099, angle diff=-36.0273
nIndex=106, start=(387,159), end=(634,0), angle=-19.3591, Dis=1386.1339, angle diff=-106.6683
nIndex=107, start=(417,159), end=(416,0), angle=90.0000, Dis=220.9046, angle diff=-70.6409
nIndex=108, start=(317,159), end=(316,0), angle=90.0000, Dis=220.9046, angle diff=0.0000
nIndex=109, start=(397,159), end=(396,0), angle=90.0000, Dis=220.9046, angle diff=0.0000
nIndex=110, start=(398,159), end=(397,0), angle=90.0000, Dis=220.9046, angle diff=0.0000
nIndex=111, start=(438,159), end=(437,0), angle=90.0000, Dis=220.9046, angle diff=0.0000
nIndex=112, start=(441,159), end=(440,0), angle=90.0000, Dis=220.9046, angle diff=0.0000
nIndex=113, start=(292,159), end=(291,0), angle=90.0000, Dis=220.9046, angle diff=0.0000
nIndex=114, start=(428,159), end=(634,0), angle=-12.0948, Dis=1162.4504, angle diff=-77.9052
nIndex=115, start=(419,159), end=(634,0), angle=-12.8110, Dis=1211.4412, angle diff=-155.0942
nIndex=116, start=(475,159), end=(474,0), angle=90.0000, Dis=220.9046, angle diff=-77.1890
nIndex=117, start=(487,159), end=(486,0), angle=90.0000, Dis=220.9046, angle diff=0.0000
nIndex=118, start=(477,159), end=(476,0), angle=90.0000, Dis=220.9046, angle diff=0.0000
nIndex=119, start=(476,159), end=(475,0), angle=90.0000, Dis=220.9046, angle diff=0.0000
nIndex=120, start=(491,159), end=(490,0), angle=90.0000, Dis=220.9046, angle diff=0.0000
nIndex=121, start=(489,159), end=(488,0), angle=90.0000, Dis=220.9046, angle diff=0.0000
